Band,Dataset,LocType,PLE,sigma_SF_dB,PLE_CFI_width,DS_mean_ns,DS_CFI_width_ns,ASA_mean_d,ASA_CFI_width_d,ASD_mean_d,ASD_CFI_width_d
Sub-THz,NYU only,LOS,1.96,2.63,0.15,14.54,31.99,6.16,8.88,5.07,4.57
Sub-THz,NYU only,NLOS,2.92,8.28,0.55,30.99,36.58,43.15,36.45,8.72,10.00
Sub-THz,USC only,LOS,1.89,0.86,0.05,25.65,25.83,15.65,7.41,10.97,1.76
Sub-THz,USC only,NLOS,2.82,6.00,0.38,30.62,25.13,30.71,21.02,21.40,10.86
Sub-THz,Pooled,LOS,1.93,2.10,0.10,23.56,27.60,10.96,8.23,7.98,4.10
Sub-THz,Pooled,NLOS,2.87,7.17,0.33,33.34,25.36,35.97,20.29,16.28,10.09
6.75 GHz,NYU only,LOS,1.81,2.61,0.21,63.76,108.19,25.20,26.93,36.70,39.50
6.75 GHz,NYU only,NLOS,2.50,7.91,0.42,112.69,127.03,31.61,20.40,40.04,31.50
6.75 GHz,USC only,LOS,1.92,1.42,0.11,13.09,19.14,10.26,12.67,5.86,1.58
6.75 GHz,USC only,NLOS,2.62,7.33,0.38,27.58,53.30,12.36,9.10,12.17,5.65
6.75 GHz,Pooled,LOS,1.86,2.36,0.13,42.82,79.58,18.04,17.69,20.84,29.47
6.75 GHz,Pooled,NLOS,2.56,7.74,0.29,66.43,66.64,22.39,14.21,26.03,20.75
